claim_id,sentiment_incident,sentiment_adjuster,sentiment_email,combined_sentiment,trigger_score,trigger_count,triggers_found,email_trigger_score,adjuster_negative_tone,nlp_risk_score
CLM-2024-10000,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2023-10001,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2023-10002,-1.0,0.0,-1.0,-0.7,14,6,attorney; litigation; my attorney; demand; bad faith; dispute,13,0,100.0
CLM-2022-10003,-1.0,0.0,1.0,0.2,4,3,doi complaint; fraud; dispute,0,0,24.0
CLM-2022-10004,-1.0,0.0,1.0,0.2,1,1,fraud,0,0,12.0
CLM-2024-10005,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2022-10006,0.0,0.0,0.0,0.0,10,4,attorney; legal action; my attorney; dispute,9,0,100.0
CLM-2022-10007,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2023-10008,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10009,0.0,1.0,0.0,0.3,0,1,dispute,0,0,7.0
CLM-2022-10010,-1.0,0.0,-1.0,-0.7,1,1,fraud,0,0,21.0
CLM-2024-10011,-1.0,0.0,0.0,-0.25,15,6,attorney; litigation; legal action; my attorney; demand; dispute,9,0,100.0
CLM-2022-10012,0.0,0.0,-1.0,-0.45,16,6,attorney; litigation; sue; my attorney; demand; bad faith,13,0,100.0
CLM-2022-10013,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2023-10014,0.0,-1.0,-1.0,-0.75,12,5,attorney; litigation; demand; bad faith; escalate,8,1,100.0
CLM-2022-10015,0.0,0.0,0.0,0.0,0,1,dispute,0,0,10.0
CLM-2022-10016,0.0,0.0,-1.0,-0.45,5,3,attorney; escalate; dispute,0,0,34.5
CLM-2022-10017,0.0,0.0,-1.0,-0.45,5,3,attorney; escalate; dispute,0,0,34.5
CLM-2023-10018,0.0,0.0,-1.0,-0.45,7,4,attorney; escalate; dispute; independent appraisal,4,0,66.5
CLM-2024-10019,1.0,1.0,1.0,1.0,0,1,dispute,0,0,0.0
CLM-2024-10020,0.0,0.0,-1.0,-0.45,9,4,attorney; litigation; demand; dispute,8,0,98.5
CLM-2023-10021,0.0,0.0,1.0,0.45,0,1,dispute,0,0,5.5
CLM-2023-10022,-1.0,-1.0,1.0,-0.1,4,2,attorney; fraud,0,1,37.0
CLM-2023-10023,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10024,0.0,-1.0,1.0,0.15,2,2,attorney; dispute,0,1,26.5
CLM-2024-10025,0.0,0.0,-1.0,-0.45,1,2,dispute; independent appraisal,0,0,18.5
CLM-2024-10026,-1.0,-1.0,1.0,-0.1,4,2,attorney; fraud,0,1,37.0
CLM-2022-10027,-1.0,-1.0,-1.0,-1.0,19,9,attorney; legal action; my attorney; doi complaint; unacceptable; bad faith; news; unreasonable; dispute,14,1,100.0
CLM-2023-10028,0.0,0.0,1.0,0.45,4,3,attorney; escalate; dispute,0,0,21.5
CLM-2024-10029,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2024-10030,-1.0,-1.0,0.0,-0.55,18,7,attorney; litigation; legal action; my attorney; demand; bad faith; escalate,9,1,100.0
CLM-2024-10031,-1.0,-1.0,-1.0,-1.0,4,2,attorney; fraud,0,1,46.0
CLM-2022-10032,0.0,0.0,1.0,0.45,1,2,dispute; independent appraisal,0,0,9.5
CLM-2024-10033,0.0,0.0,-1.0,-0.45,4,3,escalate; dispute; independent appraisal,4,0,54.5
CLM-2023-10034,0.0,0.0,1.0,0.45,0,0,,0,0,5.5
CLM-2023-10035,-1.0,0.0,0.0,-0.25,10,4,attorney; legal action; my attorney; dispute,9,0,100.0
CLM-2024-10036,0.0,0.0,-1.0,-0.45,15,7,attorney; legal action; my attorney; unacceptable; bad faith; news; dispute,14,0,100.0
CLM-2023-10037,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2024-10038,0.0,1.0,1.0,0.75,0,1,dispute,0,0,2.5
CLM-2022-10039,1.0,0.0,1.0,0.7,0,1,dispute,0,0,3.0
CLM-2023-10040,0.0,0.0,-1.0,-0.45,3,2,doi complaint; dispute,0,0,26.5
